Verb_1,Verb_2
returned,moved
living,moved
sold,moved
sentenced,assured
sentenced,pleading
pleaded,asked
pleaded,assured
pleaded,pleading
arguing,pleaded
testified,pleaded
pleading,pleaded
advised,pleaded
testified,learned
pleading,arguing
advised,learned
vacated,vacate
recommended,advised
affirmed,testified
affirmed,pleading
affirmed,advised
show,affirmed
demonstrated,affirmed
demonstrated,show
prejudiced,prejudiced
claims,applying
show,show
demonstrating,show
pleaded,applying
show,demonstrated
demonstrating,demonstrated
contends,claims
make,causing
showing,show
showing,demonstrating
accepted,accept
known,accept
contends,claims
show,show
show,demonstrating
accepting,accept
occur,going
lead,causing
lead,show
lead,going
contends,contends
show,showing
accepting,accepted
accepting,known
lead,make
lead,showing
makes,make
show,showing
makes,lead
urging,lead
show,show
show,lead
overlooks,forgets
turn,demands
plead,demands
involves,demands
plead,turn
says,plead
says,look
made,leading
made,throwing
discussing,leading
discussing,urges
upset,done
demonstrated,substantiate
confirmed,substantiate
reject,rejected
result,lead
holding,lead
holding,placed
delivered,holding
took,holding
joined,joined
made,took
goes,took
delivered,requested
worry,feared
carried,deport
accepting,accept
received,accept
received,carried
agrees,accepting
received,accepting
received,received
presented,received
opened,moved
set,moved
started,moved
working,moved
set,settled
started,opened
working,settled
decided,settled
running,settled
running,working
opened,opened
running,become
told,running
given,told
distribute,given
informed,advised
asked,pleaded
told,advised
pleading,advised
pleading,pleaded
told,informed
told,asked
pleading,asked
learned,told
learning,learned
serving,qualifies
arguing,pleaded
provided,qualifies
explained,testified
testified,assured
deported,deport
pleading,assured
advised,assured
go,according
known,thought
pleading,testified
advised,testified
received,thought
recommended,advised
received,acknowledged
received,known
applying,acknowledged
applying,pleading
giving,acknowledged
giving,advised
giving,set
found,received
received,received
found,concluded
show,giving
viewing,received
conceded,granted
establish,affirmed
show,affirmed
pleaded,affirmed
going,going
holding,required
holding,pleaded
charged,required
proceed,going
take,required
take,show
take,going
show,establish
show,explained
show,show
holding,stood
proceed,going
take,going
including,stood
including,holding
enters,take
demonstrate,show
show,take
show,show
fell,holding
assured,guarantees
raise,show
present,show
raising,raise
demonstrate,present
showing,raise
showing,present
led,showing
ask,raising
ask,showing
led,led
go,led
gone,led
took,led
apply,ask
accord,go
accord,gone
took,led
took,accept
took,go
took,ask
took,gone
consider,led
consider,took
held,apply
held,took
claims,apply
claims,took
deprived,took
accept,took
show,took
pleaded,apply
going,accord
going,took
held,consider
going,going
turns,held
turns,claims
turns,pleaded
turns,insisted
turns,going
alleges,pleaded
seek,going
suppress,held
obtained,held
affected,affected
pleading,turns
pleading,alleges
played,confronted
support,played
support,showing
placed,asking
plead,asking
plead,advised
argues,support
argues,plead
establish,support
accepted,support
insists,plead
let,support
responds,rejected
lost,placed
let,accepted
responds,accepted
found,known
contends,argues
show,establish
accepting,accepted
accepting,known
asks,show
adopt,accepting
show,show
show,lead
supported,show
carry,asks
showing,asks
showing,show
accepting,adopt
makes,makes
makes,supported
makes,carry
emphasized,showing
lose,forgets
lose,overlooks
facing,turn
looks,facing
looks,show
recognizes,accept
consider,weigh
look,recognizes
look,consider
carrying,involves
throwing,carrying
says,alleges
explained,pointing
see,known
see,lead
warned,see
demonstrated,testified
warned,asked
warned,testified
asked,asked
want,asked
plead,asked
plead,testified
inquired,asked
turned,asked
turned,gone
inquired,asked
affect,affect
responded,answered
turned,asked
turned,plead
placed,turned
make,returned
make,leaving
showing,leaving
going,returned
going,leaving
going,returned
going,leaving
result,leaving
agree,going
agree,going
taking,known
taking,accepting
taking,lead
make,lead
holding,taking
holding,pleading
holding,make
going,lead
going,backed
support,holds
concerning,holds
provide,support
affirm,support
apply,concerning
follow,apply
showing,announces
held,agree
establish,establish
establish,showing
show,establish
show,showing
made,held
made,establish
refers,held
defined,show
setting,made
setting,defined
extended,applying
held,proceed
held,applying
applies,applying
asserting,held
pleaded,held
pleaded,applies
going,extended
reflects,show
show,said
show,emphasizes
show,show
explain,reflects
explain,show
turn,gone
changed,gone
turn,went
turn,applies
changed,went
show,explain
gone,went
convicted,explain
convicted,applies
gone,turn
gone,changed
convicted,changed
gone,turn
gone,changed
obtained,changed
show,show
gone,gone
obtained,given
applying,convicted
confirm,show
applying,requires
confirm,show
analyzing,reviewing
turned,pleaded
go,failed
go,seek
focused,focus
took,turned
took,chosen
took,go
took,obtained
showing,communicate
show,communicate
ended,concluded
accepted,accepted
governing,requires
held,held
held,applies
made,include
concludes,held
concludes,ended
pleaded,held
going,ended
establish,made
establish,establish
showing,establish
going,erred
showing,establish
reaching,made
show,establish
going,erred
show,establish
show,showing
show,showing
pleaded,pleaded
pleaded,insisted
insisted,pleaded
insisted,insisted
going,going
explained,show
showing,show
make,reaching
establish,show
accepted,relies
considered,making
file,file
led,considered
observes,observed
meant,led
go,led
took,file
took,led
apply,took
apply,apply
explaining,instructed
said,instructed
said,pleaded
explained,instructed
comes,occurred
comes,made
attaches,securing
instructs,explaining
instructs,said
instructs,explained
presume,explaining
presume,explained
presuming,instructs
presuming,presume
show,instructs
show,presume
says,responds
make,made
recognized,show
recognized,says
recognized,make
give,says
give,make
give,recognized
stated,articulated
established,establish
set,establish
added,stated
applying,applying
applies,applying
applies,applying
applies,applying
apprise,added
applies,applying
goes,arise
applies,applying
applies,applying
leaves,abandons
applying,applying
leaves,goes
leaves,apprise
repeated,apprise
take,applies
take,goes
take,applies
take,accepts
take,applies
conclude,concludes
applying,applying
show,leaves
show,repeated
pleaded,applying
applying,take
think,conclude
show,take
purchased,take
applying,applying
find,made
suffered,find
accepted,suffered
accepted,accepted
gone,went
received,suffered
received,accepted
warned,shown
threatens,shown
explained,warned
explained,threatens
deals,warned
negotiated,warned
bear,deals
asserting,bear
prove,show
holds,bear
appear,show
demanding,holds
demanding,pleaded
limit,holds
holding,asserting
holding,holds
holding,pleaded
get,impose
given,suggests
given,get
holding,require
admitted,given
admitted,holding
see,holding
imposing,given
