Verb_1,Verb_2,Annotator 1,"Annotator 2
","Annotator 3
"
returned,moved,1,1,1
living,moved,0,0,0
sold,moved,0,0,0
sentenced,assured,0,0,0
sentenced,pleading,0,0,0
pleaded,asked,0,0,0
pleaded,assured,0,0,1
pleaded,pleading,1,1,1
arguing,pleaded,0,0,0
testified,pleaded,0,0,0
pleading,pleaded,1,1,1
advised,pleaded,0,0,0
testified,learned,0,0,0
pleading,arguing,0,0,0
advised,learned,0,0,0
vacated,vacate,1,1,1
recommended,advised,1,1,1
affirmed,testified,0,1,0
affirmed,pleading,0,1,1
affirmed,advised,0,1,0
show,affirmed,0,1,0
demonstrated,affirmed,0,1,0
demonstrated,show,1,1,1
prejudiced,prejudiced,1,1,1
claims,applying,0,0,0
show,show,1,1,1
demonstrating,show,1,1,1
pleaded,applying,0,0,0
show,demonstrated,1,1,1
demonstrating,demonstrated,1,1,1
contends,claims,1,1,1
make,causing,1,1,1
showing,show,1,1,1
showing,demonstrating,1,1,1
accepted,accept,1,1,1
known,accept,0,1,0
contends,claims,1,1,1
show,show,1,1,1
show,demonstrating,1,1,1
accepting,accept,1,1,1
occur,going,0,0,0
lead,causing,1,1,1
lead,show,0,0,0
lead,going,0,0,1
contends,contends,1,1,1
show,showing,1,1,1
accepting,accepted,1,1,1
accepting,known,0,0,0
lead,make,0,0,0
lead,showing,0,0,0
makes,make,0,0,0
show,showing,1,1,1
makes,lead,0,0,0
urging,lead,0,1,0
show,show,1,1,1
show,lead,0,0,0
overlooks,forgets,0,1,0
turn,demands,0,0,0
plead,demands,0,0,0
involves,demands,0,0,0
plead,turn,0,0,0
says,plead,0,1,0
says,look,0,0,0
made,leading,0,0,0
made,throwing,0,1,0
discussing,leading,0,0,0
discussing,urges,0,0,0
upset,done,0,0,1
demonstrated,substantiate,0,0,1
confirmed,substantiate,0,1,1
reject,rejected,1,1,1
result,lead,0,1,1
holding,lead,0,0,0
holding,placed,0,1,0
delivered,holding,0,0,0
took,holding,0,1,0
joined,joined,1,1,1
made,took,0,0,1
goes,took,0,0,0
delivered,requested,0,0,0
worry,feared,0,1,1
carried,deport,0,0,0
accepting,accept,1,0,1
received,accept,0,0,0
received,carried,0,0,0
agrees,accepting,0,1,1
received,accepting,0,0,0
received,received,1,1,1
presented,received,0,0,0
opened,moved,0,0,0
set,moved,0,1,1
started,moved,0,0,0
working,moved,0,0,0
set,settled,0,1,0
started,opened,1,1,0
working,settled,0,0,0
decided,settled,0,0,0
running,settled,0,1,0
running,working,0,1,0
opened,opened,1,1,1
running,become,0,0,0
told,running,0,0,0
given,told,0,0,0
distribute,given,0,1,1
informed,advised,0,1,1
asked,pleaded,0,0,0
told,advised,1,1,1
pleading,advised,0,0,0
pleading,pleaded,1,1,1
told,informed,0,1,1
told,asked,0,1,0
pleading,asked,0,0,0
learned,told,0,0,0
learning,learned,1,1,1
serving,qualifies,0,0,0
arguing,pleaded,0,0,0
provided,qualifies,0,0,0
explained,testified,1,1,1
